t,date,cum_infections,cum_infections_low,cum_infections_high,cum_reinfections,cum_reinfections_low,cum_reinfections_high,cum_infectious,cum_infectious_low,cum_infectious_high,cum_symptomatic,cum_symptomatic_low,cum_symptomatic_high,cum_severe,cum_severe_low,cum_severe_high,cum_critical,cum_critical_low,cum_critical_high,cum_recoveries,cum_recoveries_low,cum_recoveries_high,cum_deaths,cum_deaths_low,cum_deaths_high,cum_tests,cum_tests_low,cum_tests_high,cum_diagnoses,cum_diagnoses_low,cum_diagnoses_high,cum_known_deaths,cum_known_deaths_low,cum_known_deaths_high,cum_quarantined,cum_quarantined_low,cum_quarantined_high,cum_vaccinations,cum_vaccinations_low,cum_vaccinations_high,cum_vaccinated,cum_vaccinated_low,cum_vaccinated_high,new_infections,new_infections_low,new_infections_high,new_reinfections,new_reinfections_low,new_reinfections_high,new_infectious,new_infectious_low,new_infectious_high,new_symptomatic,new_symptomatic_low,new_symptomatic_high,new_severe,new_severe_low,new_severe_high,new_critical,new_critical_low,new_critical_high,new_recoveries,new_recoveries_low,new_recoveries_high,new_deaths,new_deaths_low,new_deaths_high,new_tests,new_tests_low,new_tests_high,new_diagnoses,new_diagnoses_low,new_diagnoses_high,new_known_deaths,new_known_deaths_low,new_known_deaths_high,new_quarantined,new_quarantined_low,new_quarantined_high,new_vaccinations,new_vaccinations_low,new_vaccinations_high,new_vaccinated,new_vaccinated_low,new_vaccinated_high,n_susceptible,n_susceptible_low,n_susceptible_high,n_exposed,n_exposed_low,n_exposed_high,n_infectious,n_infectious_low,n_infectious_high,n_symptomatic,n_symptomatic_low,n_symptomatic_high,n_severe,n_severe_low,n_severe_high,n_critical,n_critical_low,n_critical_high,n_recovered,n_recovered_low,n_recovered_high,n_dead,n_dead_low,n_dead_high,n_diagnosed,n_diagnosed_low,n_diagnosed_high,n_known_dead,n_known_dead_low,n_known_dead_high,n_quarantined,n_quarantined_low,n_quarantined_high,n_vaccinated,n_vaccinated_low,n_vaccinated_high,n_alive,n_alive_low,n_alive_high,n_naive,n_naive_low,n_naive_high,n_preinfectious,n_preinfectious_low,n_preinfectious_high,n_removed,n_removed_low,n_removed_high,prevalence,prevalence_low,prevalence_high,incidence,incidence_low,incidence_high,r_eff,r_eff_low,r_eff_high,doubling_time,doubling_time_low,doubling_time_high,test_yield,test_yield_low,test_yield_high,rel_test_yield,rel_test_yield_low,rel_test_yield_high,frac_vaccinated,frac_vaccinated_low,frac_vaccinated_high,pop_nabs,pop_nabs_low,pop_nabs_high,pop_protection,pop_protection_low,pop_protection_high,pop_symp_protection,pop_symp_protection_low,pop_symp_protection_high
0,2020-01-03,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,66.9901157541897,102.4098842458103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.7,66.9901157541897,102.4098842458103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0002364513383145748,0.0002364513383145747,0.0002364513383145749,0.0,0.0,0.0,2.63578432691783,0.17940297769649316,5.0921656761391665,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-04,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.3,141.2159804019346,189.38401959806544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,65.49503392920063,95.70496607079936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84564.0,84564.0,84564.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0002364513383145748,0.0002364513383145747,0.0002364513383145749,0.0,0.0,0.0,2.8754010839103596,0.19571233930526555,5.555089828515454,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-05,20.6,18.560392194562887,22.639607805437116,0.0,0.0,0.0,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.1,224.02225080245924,280.1777491975407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.4396078054371135,2.6396078054371137,0.0,0.0,0.0,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,74.64105267714346,98.95894732285653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84563.4,84561.36039219456,84565.43960780543,20.6,18.560392194562887,22.639607805437116,0.8,-1.1595917942265426,2.7595917942265427,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84563.4,84561.36039219456,84565.43960780543,19.8,17.46761924206188,22.132380757938122,0.0,0.0,0.0,0.0002435448784640121,0.00021943147870238916,0.000267658278225635,7.095413604035895e-06,-1.7024446099752866e-05,3.121527330782465e-05,2.9868770733688317,0.4777672195240865,5.495986927213577,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-06,22.0,18.77509690068058,25.22490309931942,0.0,0.0,0.0,4.0,-0.19523539268060652,8.195235392680607,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,303.50396850395276,366.49603149604724,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-0.6396078054371142,3.439607805437114,0.0,0.0,0.0,3.2,-0.12264954516722959,6.52264954516723,0.9,-0.7613247725836151,2.5613247725836152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,67.6304224026989,98.16957759730111,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84562.0,84558.77509690067,84565.22490309933,22.0,18.77509690068058,25.22490309931942,4.0,-0.19523539268060652,8.195235392680607,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84562.0,84558.77509690067,84565.22490309933,18.0,13.804764607319393,22.19523539268061,0.0,0.0,0.0,0.00026009647214603237,0.0002219698394575875,0.0002982231048344772,1.655608161917829e-05,-7.564162067571776e-06,4.0676325305928355e-05,2.9460791938667894,0.8292692491148013,5.062889138618777,,,,0.0025528455284552845,-0.007671215783202668,0.012776906840113237,48.480500000000006,-165.61366910452176,262.5746691045218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-07,26.4,19.067878888070652,33.732121111929345,0.0,0.0,0.0,10.5,5.5,15.5,3.2,0.12754170085255678,6.272458299147443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.9,378.3281783335502,463.4718216664497,0.6,-1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-1.1281099844341016,9.928109984434101,0.0,0.0,0.0,6.5,2.280995378054203,10.719004621945796,2.2,-0.5999999999999996,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.9,67.73519887254474,104.06480112745527,0.4,-0.9266499161421601,1.72664991614216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84557.6,84550.26787888807,84564.93212111194,26.4,19.067878888070652,33.732121111929345,10.5,5.5,15.5,3.2,0.12754170085255678,6.272458299147443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84557.6,84550.26787888807,84564.93212111194,15.9,8.663978993949783,23.136021006050218,0.0,0.0,0.0,0.00031211576657523885,0.00022543127409522674,0.00039880025905525093,5.203682798930124e-05,-1.334668110087472e-05,0.0001174203370794772,2.792717290847302,1.175033115368038,4.410401466326566,10.534263147028213,-3.865957834458804,24.93448412851523,0.004418581954813839,-0.01016630505171463,0.019003468961342307,30.393814200731196,-65.63996516371738,126.42759356517978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-08,32.1,22.042167231455874,42.157832768544125,0.0,0.0,0.0,15.2,10.236130541603657,20.16386945839634,5.9,3.008633541039808,8.791366458960193,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.7,460.2274816341075,555.1725183658925,1.6,-0.439607805437114,3.639607805437114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.7969397311474955,10.603060268852506,0.0,0.0,0.0,4.7,1.4689011157192975,7.931098884280702,2.7,0.9000000000000001,4.5,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,70.07158106693882,103.52841893306118,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84551.9,84541.84216723144,84561.95783276854,32.1,22.042167231455874,42.157832768544125,15.2,10.236130541603657,20.16386945839634,5.9,3.008633541039808,8.791366458960193,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-0.439607805437114,3.639607805437114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84551.9,84541.84216723144,84561.95783276854,16.9,7.758884094378846,26.04111590562115,0.0,0.0,0.0,0.0003795043979948927,0.00026059499706157047,0.0004984137989282149,6.74154648151655e-05,9.419332534520772e-06,0.00012541159709581024,2.6098321544962504,1.3776523996589518,3.842011909333549,5.438070228136499,0.9801573349856776,9.895983121287319,0.011260143401735487,-0.01232311789417963,0.034843404697650605,60.49652742409921,-64.29195562672801,185.28501047492642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-09,38.5,24.694204115662146,52.305795884337854,0.0,0.0,0.0,18.4,15.029540090729455,21.770459909270542,9.7,6.726786250536298,12.6732137494637,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.4,557.7519508259991,641.0480491740009,3.8,-0.17994974842648004,7.77994974842648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.45357250107259794,12.346427498927403,0.0,0.0,0.0,3.2,0.5467001677156804,5.8532998322843195,3.8,1.4676192420618794,6.132380757938121,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,68.08559761501469,115.31440238498531,2.2,-0.45329983228432,4.85329983228432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84545.5,84531.69420411566,84559.30579588434,38.5,24.694204115662146,52.305795884337854,18.4,15.029540090729455,21.770459909270542,9.7,6.726786250536298,12.6732137494637,0.2,-0.6000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,-0.17994974842648004,7.77994974842648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84545.5,84531.69420411566,84559.30579588434,20.1,6.850094339958494,33.34990566004151,0.0,0.0,0.0,0.00045516882625555664,0.0002919488805880799,0.0006183887719230334,7.570106702875775e-05,5.3570714784775385e-06,0.00014604506257903795,2.428649899671805,1.4145026327232986,3.442797166620312,4.128694247597087,1.6128331385920367,6.644555356602138,0.02331616796370019,-0.0027796278065741024,0.04941196373397448,106.62018933463052,-14.795766384985768,228.03614505424682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-10,44.2,26.54100795628471,61.8589920437153,0.0,0.0,0.0,21.4,16.246360509309948,26.55363949069005,12.1,8.9440532323881,15.2559467676119,0.3,-0.9806248474865698,1.5806248474865698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.3,642.1779879016536,734.4220120983463,5.3,1.2950031210998425,9.304996878900157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,-0.36959636219740677,11.769596362197408,0.0,0.0,0.0,3.0,-0.4641016151377544,6.464101615137754,2.4,-0.16124969497313968,4.961249694973139,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9,69.64487081320928,108.15512918679073,1.5,-0.5493901531919199,3.54939015319192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84539.8,84522.14100795629,84557.45899204371,44.2,26.54100795628471,61.8589920437153,21.4,16.246360509309948,26.55363949069005,12.1,8.9440532323881,15.2559467676119,0.3,-0.9806248474865698,1.5806248474865698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1.2950031210998425,9.304996878900157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84539.8,84522.14100795629,84557.45899204371,22.8,8.383342967247922,37.21665703275208,0.0,0.0,0.0,0.0005225574576752104,0.0003137828425740649,0.000731332072776356,6.74266296877472e-05,-4.378146393188551e-06,0.00013923140576868295,2.2741544571501295,1.3730007244003797,3.175308189899879,4.47564132102037,1.790863109703753,7.160419532336986,0.017783773107366542,-0.009235686275458847,0.04480323249019193,72.79059569326833,-44.181216121214575,189.76240750775122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-11,49.7,29.24419397823689,70.15580602176311,0.0,0.0,0.0,25.3,16.907145896657084,33.69285410334292,14.4,10.185738498858905,18.614261501141094,0.4,-0.9266499161421601,1.72664991614216,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,776.6,726.3032804250615,826.8967195749385,6.6,2.1999999999999993,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.9174243050441602,10.082575694955839,0.0,0.0,0.0,3.9,0.272328570556589,7.52767142944341,2.3,-0.5354893757515655,5.135489375751565,0.1,-0.5000000000000001,0.7000000000000001,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,88.3,73.17254152211945,103.42745847788055,1.3,-1.2377155080899043,3.8377155080899046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84534.3,84513.84419397824,84554.75580602177,49.7,29.24419397823689,70.15580602176311,25.3,16.907145896657084,33.69285410334292,14.4,10.185738498858905,18.614261501141094,0.4,-0.9266499161421601,1.72664991614216,0.1,-0.5000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.1999999999999993,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84534.3,84513.84419397824,84554.75580602177,24.4,9.032501830161161,39.76749816983884,0.0,0.0,0.0,0.0005875815757117184,0.00034574144020425705,0.0008294217112191798,6.506458037570438e-05,1.0846241110887621e-05,0.00011928291964052114,2.1812480267649885,1.280960699495822,3.081535354034155,5.132298552965732,2.666359567229249,7.598237538702216,0.014638248673450135,-0.013711105101654752,0.042987602448555026,46.99584053564001,-40.40058183104949,134.39226290232952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-12,56.8,29.880861826574012,83.71913817342599,0.0,0.0,0.0,30.7,19.070726591914692,42.32927340808531,18.4,13.093400335431358,23.70659966456864,0.6,-0.7266499161421601,1.9266499161421602,0.2,-0.6000000000000001,1.0000000000000002,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,857.6,803.6133349798305,911.5866650201696,9.6,4.293400335431359,14.90659966456864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,-1.311896337925237,15.511896337925236,0.0,0.0,0.0,5.4,-1.24529909033446,12.04529909033446,4.0,0.0,8.0,0.2,-0.6000000000000001,1.0000000000000002,0.1,-0.5000000000000001,0.7000000000000001,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,81.0,63.3818275635638,98.6181724364362,3.0,-0.4641016151377544,6.464101615137754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84527.2,84500.28086182657,84554.11913817342,56.6,30.109246896322485,83.09075310367751,30.5,19.24833345677184,41.75166654322816,18.3,13.236404439531135,23.363595560468866,0.6,-0.7266499161421601,1.9266499161421602,0.2,-0.6000000000000001,1.0000000000000002,0.2,-0.6000000000000001,1.0,0.0,0.0,0.0,9.6,4.293400335431359,14.90659966456864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84584.0,84584.0,84584.0,84527.2,84500.28086182657,84554.11913817342,26.1,10.416888063907727,41.783111936092276,0.2,-0.6000000000000001,1.0,0.0006691572874302468,0.0003559685862139705,0.000982345988646523,8.400322813877111e-05,-1.554469364648301e-05,0.00018355114992402524,2.1344950998638854,1.1110488659482154,3.157941333779555,6.312948973673086,-0.29420843264534113,12.920106379991513,0.03641247480080437,-0.0020069838904606327,0.07483193349206937,103.22531294561732,-12.300684639627377,218.751310530862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
